,0,1,2,3,4,5
0,,,,Detailed Profiles & Statistics,,
1,Name,Born,Country (Current),Tests,ODIs,T20s
2,Aadil Bhaiyat,30/01/1995,Eswatini,,,5
3,Aaftab Alam Khan,31/01/1986,Malta,,,27
4,Aakash Chand,18/12/2004,Nepal,,2,3
5,Aamer Hameed,18/10/1954,Pakistan,,2,
6,Aamer Hanif,04/10/1971,Pakistan,,5,
7,Aamer Ikram,07/07/1979,Portugal,,,4
8,Aamer Jamal,05/07/1996,Pakistan,8,3,6
9,Aamer Malik,03/01/1963,Pakistan,14,24,
10,Aamer Yamin,26/06/1990,Pakistan,,4,2
11,Aamir Kaleem,20/11/1981,Oman,,7,41
12,Aamir Lal,10/08/1990,South Korea,,,10
13,Aamir Nazir,02/01/1971,Pakistan,6,9,
14,Aamir Sohail,14/09/1966,Pakistan,47,156,
15,Aanand Pandey,20/10/1993,Luxembourg,,,3
16,Aaqib Javed,05/08/1972,Pakistan,22,163,
17,Aarif Sheikh,05/10/1997,Nepal,,57,41
18,Aarnav Patel,05/01/2006,Kenya,,,2
19,V R Aaron,29/10/1989,India,9,9,
20,Aarush Bhagwat,12/09/2003,Hong Kong,,,4
21,Aasif Sheikh,22/01/2001,Nepal,,56,54
22,Aayan Afzal Khan,15/11/2005,United Arab Emirates,,34,36
23,J Ababu,15/04/1980,Kenya,,9,
24,P Abanda,12/03/1985,Cameroon,,,13
25,Abass Gbla,15/10/1997,Sierra Leone,,,32
26,Abbas Afridi,05/05/2001,Pakistan,,,18
27,Abbas Ghani,16/11/2000,Hungary,,,6
28,Abbas Saad,01/06/1986,Saudi Arabia,,,2
29,Z Abbasi,22/04/1987,Botswana,,,4
30,K J Abbott,18/06/1987,South Africa,11,28,21
31,S A Abbott,29/02/1992,Australia,,26,20
32,Abdul Baladraf,11/04/2000,Saudi Arabia,,,9
33,Abdul Bashir,01/06/1998,Germany,,,1
34,Abdul Bhikari,08/03/1995,Suriname,,,5
35,Abdul Farhad,20/01/1990,Czech Republic,,,9
36,Abdul Hai Muhammad,08/11/1980,Belgium,,,3
37,Abdul Hashmi,04/09/1997,Denmark,,,23
38,Abdul Jabbar,01/03/1983,Canada,,2,
39,Abdul Kadir,10/05/1944,Pakistan,4,,
40,Abdul Majid,13/02/1992,Bahrain,,,26
41,Abdul Majid Abbasi,07/09/1993,Bahrain,,,16
42,Abdul Malik,11/03/1998,Afghanistan,4,4,
43,Abdul Manan Ali,30/07/1997,Saudi Arabia,,,35
44,Abdul Naser Baluch,08/11/1999,Sweden,,,8
45,Abdul Qadir,15/09/1955,Pakistan,67,104,
46,Abdul Rahman,22/11/2001,Afghanistan,,3,
47,Abdul Rahman,01/01/2002,Austria,,,3
48,Abdul Rahman,21/07/1999,France,,,1
49,Abdul Rahman Bhadelia,30/05/2000,Singapore,,,10
50,Abdul Rashid,06/07/1991,Belgium,,,2
51,Abdul Razzaq,02/12/1979,Pakistan,46,265,32
52,Abdul Rehman,02/01/1987,United Arab Emirates,,1,
53,Abdul Samad,15/01/2004,Japan,,,4
54,Abdul Shakoor,04/04/1993,Romania,,,18
55,Abdul Shakoor,15/03/1985,United Arab Emirates,,3,6
56,Abdul Waheed,07/12/1993,Saudi Arabia,,,48
57,Abdul Wahid,01/01/1986,Saudi Arabia,,,18
58,Abdul Wasi,06/07/2002,Afghanistan,1,,
59,R Abdulkareem,25/01/2005,Nigeria,,,47
60,M Abdulla,08/04/1983,Malawi,,,10
61,Y A Abdulla,17/01/1983,South Africa,,,2
62,Abdulla Bhoola,21/01/1997,Panama,,,2
63,Abdullah Akbarjan,01/01/1990,Austria,,,35
64,Abdullah Khan Lodhi,16/06/1993,Turkey,,,4
65,Abdullah Mahmood,13/05/2002,Denmark,,,14
66,Abdullah Mazari,07/03/1987,Afghanistan,,2,
67,Abdullah Rana,18/06/1984,Switzerland,,,8
68,Abdullah Shafique,20/11/1999,Pakistan,22,21,6
69,Abdullah Shahid,04/06/1974,Maldives,,,3
70,Abdullah Sheikh,28/05/1998,Norway,,,5
71,Abdulmalik Jabarkhel,25/04/2003,France,,,2
72,Abdul-Shakoor Rahimzei,19/03/1999,Germany,,,26
73,Abdur Rahman Sudais,,Sweden,,,7
74,Abdur Rauf,09/12/1978,Pakistan,3,4,1
75,Abdur Razzak,15/06/1982,Bangladesh,13,153,34
76,Abdur Rehman,01/03/1980,Pakistan,22,31,8
77,Abdurahmani Hussein,01/02/2003,Tanzania,,,2
78,Abdykhabar Jabarkhail,16/10/2001,Belgium,,,6
79,K H Abe,05/01/2006,Japan,,,21
80,E L A'Beckett,11/08/1907,Australia,4,,
81,J B Abega,13/06/1986,Cameroon,,,21
82,R Abel,30/11/1857,England,13,,
83,Abhijeet Ahuja,16/01/1987,Hungary,,,19
84,Abhilash Patil,07/06/1989,Mexico,,,1
85,Abhishek Ahuja,07/08/1985,Hungary,,,17
86,Abhishek Sharma,04/09/2000,India,,,12
87,Abid Ali,16/10/1987,Pakistan,16,6,
88,S Abid Ali,09/09/1941,India,29,5,
