Page Title,Column1,Column2,Column3,Column4,Column5,Column6,Column7
Medal winners Athina 1896,Artistic Gymnastics,,,,,,
Medal winners Athina 1896,"Horse Vault, Men",Carl Schuhmann,GER,Louis Zutter,SUI,Hermann Weingärtner,GER
Medal winners Athina 1896,"Parallel Bars, Men",Alfred Flatow,GER,Louis Zutter,SUI,—,—
Medal winners Athina 1896,"Parallel Bars, Teams, Men",Germany,GER,Panellinios Gymnastikos Syllogos,GRE,Ethnikos Gymnastikos Syllogos,GRE
Medal winners Athina 1896,"Horizontal Bar, Men",Hermann Weingärtner,GER,Alfred Flatow,GER,—,—
Medal winners Athina 1896,"Horizontal Bar, Teams, Men",Germany,GER,—,—,—,—
Medal winners Athina 1896,"Rings, Men",Ioannis Mitropoulos,GRE,Hermann Weingärtner,GER,Petros Persakis,GRE
Medal winners Athina 1896,"Pommelled Horse, Men",Louis Zutter,SUI,Hermann Weingärtner,GER,—,—
Medal winners Athina 1896,"Rope Climbing, Men",Nikolaos Andriakopoulos,GRE,Thomas Xenakis,GRE,Fritz Hofmann,GER
Medal winners Athina 1896,Athletics,,,,,,
Medal winners Athina 1896,"100 metres, Men",Tom Burke,USA,Fritz Hofmann,GER,Alajos SzokolyFrank Lane,HUNUSA
Medal winners Athina 1896,"400 metres, Men",Tom Burke,USA,Herbert Jamison,USA,Charles Gmelin,GBR
Medal winners Athina 1896,"800 metres, Men",Teddy Flack,AUS,Nándor Dáni,HUN,Dimitrios Golemis,GRE
Medal winners Athina 1896,"1,500 metres, Men",Teddy Flack,AUS,Arthur C. Blake,USA,Albin Lermusiaux,FRA
Medal winners Athina 1896,"Marathon, Men",Spyros Louis,GRE,Charilaos Vasilakos,GRE,Gyula Kellner,HUN
Medal winners Athina 1896,"110 metres Hurdles, Men",Tom Curtis,USA,Grantley Goulding,GBR,—,—
Medal winners Athina 1896,"High Jump, Men",Ellery Clark,USA,Bob GarrettJames B. Connolly,USAUSA,—,—
Medal winners Athina 1896,"Pole Vault, Men",Bill Hoyt,USA,Albert Tyler,USA,Evangelos DamaskosIoannis Theodoropoulos,GREGRE
Medal winners Athina 1896,"Long Jump, Men",Ellery Clark,USA,Bob Garrett,USA,James B. Connolly,USA
Medal winners Athina 1896,"Triple Jump, Men",James B. Connolly,USA,Alexandre Tuffèri,FRA,Ioannis Persakis,GRE
Medal winners Athina 1896,"Shot Put, Men",Bob Garrett,USA,Miltiadis Gouskos,GRE,Georgios Papasideris,GRE
Medal winners Athina 1896,"Discus Throw, Men",Bob Garrett,USA,Panagiotis Paraskevopoulos,GRE,Sotirios Versis,GRE
Medal winners Athina 1896,Cycling Road,,,,,,
Medal winners Athina 1896,"Road Race, Individual, Men",Aristidis Konstantinidis,GRE,Anton Gödrich,GER,Edward Battel,GBR
Medal winners Athina 1896,Cycling Track,,,,,,
